,Duration:,Available to,"
",Location:,International_Course_Cost,CRICOS:,Domestic_Course_Price,2020 Main Round ATAR/OP,Available to:,"
    2020 Main Round ATAR/OP
    :
",2020 Main Round ATAR/OP    ,Website,Course,Study_Mode,Brisbane_International_Start_Date,Location,Melbourne_International_Start_Date,Duration,CRICOS,North_Sydney_International_Start_Date,Description
ATAR/OP not available for new courses.,1 year full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $24336.00 (2021),083215J,"Average first year fee:
    $7745 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,,,https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_science_honours,Bachelor of Psychological Science (Honours),Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Brisbane  Melbourne  Strathfield," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",1 year full-time or equivalent part-time.,090704M,null,The Bachelor of Psychological Science (Honours) is a one-year degree for high-achieving students who have completed a Bachelor’s degree that included an accredited three-year sequence in psychology. Students in this honours degree will: Bachelor of Psychological Science (Honours) electives include advanced topics in: A psychological science honours degree will give you an edge in an increasingly competitive job market. The Bachelor of Psychological Science (Honours) will also equip you for further study at a higher degree level.
ATAR/OP not available for new courses.,4 years full time or equivalent part time.,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $97344.00 (2021),102185D,"Average first year fee:
    $7390 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,Melbourne  (85.00) Strathfield  (85.00),,https://courses.acu.edu.au/undergraduate/bachelor_of_psychology_honours,Bachelor of Psychology (Honours),Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Melbourne  Strathfield," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",1 year full-time or equivalent part-time.,083215J,null,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. This degree will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: Therefore, the aim of ACU’s Bachelor of Psychology (Honours) is to: Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations."
ATAR/OP not available for new courses.,<span> One year full-time or equivalent part-time.</span>,Domestic and International students.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $23400.00 (2021),061898C,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,,Melbourne  (85.00) Strathfield  (85.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theology_honours,Bachelor of Theology (Honours),Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full time or equivalent part time.,102185D," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872","The Bachelor of Theology (Honours) is a one-year programme for high-achieving students who have completed the Bachelor of Theology pass degree or equivalent. Undertake a focused research project framed by one-on-one supervision with one of our internationally-recognised academic staff, and engage in an in-depth study of an area of theology or biblical studies in which you are particularly interested. As part of the honours degree, you will: Aside from expanding your knowledge, a theology honours degree will give you an edge in an increasingly competitive job market. You will enhance your capacity across high-level research, as well as your writing and problem solving skills – highly transferable skills that employers have identified as the necessary skill-sets for sustaining a long, distinguished and personally rewarding career."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  



",Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $116320.00 (2021),095923D,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (85.00) Strathfield  (85.00),Domestic and International students.,Melbourne  (58.50),,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_healthbachelor_of_business_administration,Bachelor of Applied Public Health/Bachelor of Business Administration,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Ballarat  Brisbane  Canberra  Melbourne  Strathfield,null,<span> One year full-time or equivalent part-time.</span>,061898C,null,"The Bachelor of Applied Public Health provides students with the knowledge and skills to contribute to a healthier Australian society. Public Health is about preventing illness in populations and developing programs and practices that promote better health in individuals and communities. Public Health practitioners must understand both recent developments in scientific research and the ways in which this research can influence government policy. This degree is ideal for students who are enthusiastic about making a difference to the health of people through communication and leadership, and learning about the impact of individual lifestyle choices and intergenerational effects on health. Specifically, the course aims to: The Bachelor of Business Administration is a general business degree without specialisation in a particular subject area. The course is structured around 8 core units which are common to other undergraduate business courses and a further 4 units that will build your business knowledge in areas such as human resource management, marketing and management. Combining the Bachelor of Applied Public Health with the Bachelor of Business Administration will enable graduates to utilise their knowledge and skill in industry, the public service or in small business enterprises."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  



",Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),079445G,"Average first year fee:
    $8455 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (85.00) Strathfield  (85.00),Domestic and International students.,Melbourne  (58.50),Melbourne  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_healthbachelor_of_global_studies,Bachelor of Applied Public Health/Bachelor of Global Studies,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Melbourne,null,4 years full-time or equivalent part-time.,095923D,null,"The Bachelor of Applied Public Health/Bachelor of Global Studies is a rewarding double degree for those interested in biological, social and environmental determinants of global health and health inequality. This course is designed to provide you with an informed global perspective that will enhance your application of public health principles to address complex community and population issues in Australia and around the world. You will enhance your global knowledge and skills with a period of study abroad/exchange where you will learn about other countries and may focus on their public health systems and approaches. Ultimately graduates will be expected to be capable in leadership, with proven research skills and knowledge of the public health sector and the social, political, cultural, environmental, and economic changes that are shaping the world. This course offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma in Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities. The course aims to:"
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $116320.00 (2021),068241K,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Melbourne  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_commerce,Bachelor of Arts/Bachelor of Commerce,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Melbourne," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,079445G," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872","Strengthen your business qualification with communication, research and analytical skills developed in the arts degree. As part of the Bachelor of Arts, you can choose to study from a range of units in the liberal arts fields such as psychology, economics, digital journalism or literature studies. As part of the Bachelor of Commerce, you can choose to specialise in Accounting, Marketing or Human Resource Management. An innovative range of business minors from data analytics and entrepreneurship through to international business is offered at the Brisbane, North Sydney and Melbourne campuses. Pursue a career in accounting, advertising, HRM, marketing, policy administration or financial analyst."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),074606B,"Average first year fee:
    $8916 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_global_studies,Bachelor of Arts/Bachelor of Global Studies,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,068241K," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872","The Bachelor of Arts/Bachelor of Global Studies is an exciting and rewarding double degree for those interested in a wide range of contemporary social issues shaping our world including globalisation, public health; social justice; human rights; gender, race and age inequality; poverty; environmental sustainability, migration and international relations. This course offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma in Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities."
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),079428G,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_laws,Bachelor of Arts/Bachelor of Laws,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,074606B," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Bachelor of Arts/Bachelor of Laws is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. You can pursue a range of careers including: As a graduate of this double degree you will be well placed to develop specialist legal practice in a wide range of fields. This includes education; cultural institutions; commerce and industry; communications; community and charitable organisations; creative industries; social and policy research; and tourism and travel. As part of this degree you complete up to 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. The Bachelor of Arts portion of the double degree gives you the flexibility to study what you are passionate about. There is a range of subjects ACU offers within the following areas: Completing a Bachelor of Arts/Bachelor of Laws is excellent preparation for pursuing a career in areas such as:"
ATAR/OP not available for new courses.,<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or part-time equivalent.,Domestic and International students.,,"


Melbourne  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $97344.00 (2021),088051F,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_applied_public_health,Bachelor of Biomedical Science/Bachelor of Applied Public Health,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Brisbane  Melbourne  North Sydney,null,5 years full-time or equivalent part-time.,079428G,null,"The Bachelor of Biomedical Science/Bachelor of Applied Public Health is a double degree for people interested in the biomedical, community and population aspects of health. Students will be introduced to the sub-disciplines of Biomedical Science including anatomy, physiology, biochemistry, pharmacology, immunology and microbiology. Studies in public health address the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. Public health includes environmental, economic, technical, educational and legislative measures. Specifically, the course aims to: Combine compassion for humanity and a commitment to social justice with a sound theoretical understanding of processes affecting disadvantaged communities and individuals both locally and internationally."
ATAR/OP not available for new courses.,4 years full-time or part-time equivalent.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3349.00 (2021) Average first year fee: $26792.00 (2021) Estimated Total Cost: $107168.00 (2021),088052E,"Average first year fee:
    $10132 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Melbourne  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_business_administration,Bachelor of Biomedical Science/Bachelor of Business Administration,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Melbourne," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or part-time equivalent.,088051F," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858","The Bachelor of Biomedical Science/Bachelor of Business Administration is designed to develop in students an understanding of business management and how organisations work that will enhance their professional careers in a range of biomedical contexts across a range of organisations. The biomedical science component will train students in the core areas of anatomy, physiology, biochemistry, pharmacology, immunology and microbiology. Students will be introduced to each of these disciplines via core units and expected to undertake detailed study in at least one discipline, through utilization of elective units. Students will learn how the human body functions, what causes disease and how disease is treated. Graduates will be competent in applying a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts, for example in biomedical research, in commercialisation, or in the pharmaceutical and medical technology industries. Students will enhance their business administration knowledge in a range of areas including accounting, finance, marketing, business law and business data management. Industry placements in the final year of the degree will improve employability on graduation and provide students with a practical application of their studies."
ATAR/OP not available for new courses.,5 years full-time or part-time equivalent.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),088053D,"Average first year fee:
    $9981 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_laws,Bachelor of Biomedical Science/Bachelor of Laws,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",4 years full-time or part-time equivalent.,088052E," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858","The Bachelor of Laws/Bachelor of Biomedical Science is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. Graduates can pursue a range of legal careers including: As a graduate of this double degree you will be well placed to develop specialist legal practice in a wide range of fields. This includes roles in the pharmaceutical and medical technology industries and in roles related to the development, marketing and governance of health and disease. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3284.00 (2021) Average first year fee: $26272.00 (2021) Estimated Total Cost: $105088.00 (2021),074605C,"Average first year fee:
    $9271 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_business_administrationbachelor_of_global_studies,Bachelor of Business Administration/Bachelor of Global Studies,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",5 years full-time or part-time equivalent.,088053D," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Bachelor of Business Administration/Bachelor of Global Studies is a double degree for people interested in the social, political, cultural, environmental and economic changes shaping our world. In addition to the advantages of a business education, you will undertake studies in globalisation, environmental sustainability, global health, world politics and justice and its impacts on society, economics and the environment. This degree offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities."
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),079430C,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_business_administrationbachelor_of_laws,Bachelor of Business Administration/Bachelor of Laws,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,074605C," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Bachelor of Business Administration/Bachelor of Laws is designed to produce well- rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. As a graduate you can pursue a range of legal careers including: In addition to a career in the law, this double degree is excellent preparation for careers in accounting, administration, banking, business analysis/development, business management, regulatory compliance, communications, computing, financial management, human resource management, international business, international marketing, management consultancy, marketing recruitment, staff development and sales. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. You will also study business administration, which provides knowledge in many areas of business management including: Completing a Bachelor of Business Administration/Bachelor of Laws is excellent preparation for a career in:"
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",Unit Fee: $3635.00 (2021) Average first year fee: $29080.00 (2021) Estimated Total Cost: $116320.00 (2021),078169G,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_business_administration,Bachelor of Commerce/Bachelor of Business Administration,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",5 years full-time or equivalent part-time.,079430C," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","This double degree combines the specialised knowledge of the Bachelor of Commerce with the flexibility of the Bachelor of Business Administration. If you want to stand out from the crowd and become a business leader, this is the degree for you. You can major in the Bachelor of Commerce in: You can choose to study from the following minors: You will also gain an appreciation of ethics and probity in commercial and interpersonal transactions."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3284.00 (2021) Average first year fee: $26272.00 (2021) Estimated Total Cost: $105088.00 (2021),074607A,"Average first year fee:
    $9067 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_global_studies,Bachelor of Commerce/Bachelor of Global Studies,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  North Sydney  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,078169G," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Enhance your commerce specialisation with an understanding of the social, political, cultural, environmental, and economic changes shaping the world. Pursue a career as an Australian or international public servant, diplomat, social entrepreneur, travel journalist or in tourism. You can major in Accounting, Financial Services, HR Management, Management and Marketing. This degree offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities."
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),079432A,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Brisbane  (17/65) Melbourne  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_laws,Bachelor of Commerce/Bachelor of Laws,Campus availability," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763
   #2358759#2358773:  
, 26-Jul-2021   #2358759
   #2358759#2358773:  
, 21-Feb-2022   #2358759
   #2358759#2358773:  
, 18-Jul-2022   #2358759",Brisbane  Melbourne  North Sydney," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",4 years full-time or equivalent part-time.,074607A," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","The Bachelor of Commerce/Bachelor of Laws will not only give you the legal knowledge and skills to handle the demands of modern practice but also an insight into the frameworks, institutions and rule-making processes of commercial activity. Graduates will be ready for legal practice and a range of professional careers in an increasingly global environment. In addition to the core subjects required for admission to practice, the Bachelor of Laws component includes the following subjects: You can pursue a range of legal careers including: As part of this degree, you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. The Bachelor of Commerce portion of the degree allows you to complete studies in: Completing a Bachelor of Commerce/Bachelor of Laws is excellent preparation for pursuing a career in areas such as:"
