Available to:,Study_Mode,Description,Duration:,Melbourne_International_Start_Date,Available to,Location,Brisbane_International_Start_Date,Domestic_Course_Price,Course,CRICOS:,CRICOS,North_Sydney_International_Start_Date,Website,Location:,Duration,International_Course_Cost
Domestic students only.,With specialisations in:,"Rehabilitation is a growing area of need not only in Australia but worldwide due to the ageing population and increasing prevalence of chronic disease. The demand for a workforce supporting older adults and those requiring rehabilitation and restorative care, is similarly expected to increase along with the need for health care professionals with postgraduate qualifications. ACU understands the importance of working with the health care industry and has developed this revised program in consultation with industry partners. The Graduate Certificate in Rehabilitation is the initial program nested within the Master of Rehabilitation. The Graduate Certificate has been purposefully developed to provide evidence-based studies for registered health professionals who are seeking to extend knowledge and skills in the provision of rehabilitation or restorative care, for promotion and professional recognition, or their return to the workforce. The Graduate Certificate in Rehabilitation prepares clinicians to be an enhanced evidence-based clinician within an interprofessional team.  The course has four units, two units focussing on enhancing rehabilitation knowledge and skills within an interprofessional team and two elective units enabling practitioners/clinicians to customise their learning to their relevant context and learning needs. Graduates should be able to:",1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Melbourne   Open Universities Australia,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $12012 Fee-Paying 

    (indicative only)",Graduate Certificate in Rehabilitation,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_rehabilitation,"


Brisbane  


Melbourne  


North Sydney  

 Open Universities Australia

",6 months full-time or 1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Religious Education is for qualified primary and secondary school teachers who want to teach religion. The course provides the basic certification, fundamental knowledge, skills and competencies needed to teach religious education. Prospective students should check with their employing authority to ensure they complete the required combination of units. Each diocese has slightly different requirements.",6 months full-time or equivalent part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Brisbane  Melbourne  North Sydney   Open Universities Australia,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Religious Education,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_religious_education,"


Online  



",1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Safeguarding Children and Young People is a four unit (40 credit points) AQF Level 8 course. It is a cross-disciplinary standalone course. The course is a proactive response to the present social and political challenges in safeguarding children and young people. It is designed to provide the opportunity for participants to develop knowledge and understandings of contemporary issues and responses to safeguarding children and young people, exploring the conditions and factors that facilitate or impede child-safe environments.",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Safeguarding Children and Young People,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_safeguarding_children_and_young_people,"


Online  



",6 months full-time or equivalent part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"This course gives graduates in other disciplines a basic foundation in Christian theology, as well as allowing Theology graduates the opportunity to extend their knowledge in specific areas. Completing the Graduate Certificate in Theological Studies qualifies students for admission into the Master of Theological Studies. Depending on their unit choices, graduates of this course will be able to:",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Theological Studies,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_theological_studies,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Diploma in Australian Migration Law and Practice equips students with the knowledge, understanding and practical skills required to practice as a qualified migration agent in Australia. The course emphasizes problem-based, real-life interactive learning experiences. The Graduate Diploma is the minimum qualification for individuals seeking registration in Australia as a Migration Agent. Upon successful completion of the Diploma and the Capstone exam administered by the Office of Migration Agents Registration Authority (OMARA), graduates may seek registration to practice as a Registered Migration Agent. There are additional requirements for registration as a Migration Agent. Course Flyer:Graduate Diploma in Australian Migration Law and Practice",1 year full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $22160 Fee-Paying 

    (indicative only)",Graduate Diploma in Australian Migration Law and Practice,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_australian_migration_law_and_practice,"


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"Students undertaking the Graduate Diploma in Clinical Nursing will develop their knowledge and skills of advanced decision making in health care. In addition, the course has a strong focus on the development of leadership knowledge and skills and the importance of quality and safety in health care. Interpretation of health research is also featured. The structure of this course allows students to select a project stream or a research stream relevant to clinical nursing.",1 year full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,Domestic students only.,Online,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Graduate Diploma in Clinical Nursing,,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_clinical_nursing,"


Online  



",1 year full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,The Graduate Diploma in Financial Planning allows you to specialise in the area of personal financial planning. You will be able to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The program embraces the importance of ethical and sustainable decision making. The course is also offered fully online through Open Universities Australia. The Graduate Diploma in Financial Planning articulates into the Master of Finance. This is a one year full-time (or part-time equivalent) course.,1 year full-time or equivalent part-time.,null,Domestic students only.,Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $28000 Fee-Paying 

    (indicative only)",Graduate Diploma in Financial Planning,092656J,102811E,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_financial_planning,"


North Sydney  

 Open Universities Australia

",1 year full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $32000.00 (2021)
Domestic and International students.,Campus availability,The Graduate Diploma in Health Administration offers students the opportunity to build on their administrative or management foundations by evaluating current approaches to policy development and implementation in health care delivery. The structure of this course allows students to select a project stream or a research stream relevant to health administration.,1 year full-time or equivalent part-time.,null,Domestic and International students.,North Sydney   Open Universities Australia," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Graduate Diploma in Health Administration,084325F,092656J,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_health_administration,"


North Sydney  


Online  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,"The ACU Graduate Diploma of Health Professional Education supports educators of health professionals to develop advanced knowledge and skill required to promote change through innovative, engaging and evidence-based education. By building on the foundational knowledge and skill developed through the Graduate Certificate of Health Professional Education, this course aims to prepare students with advanced understanding of complex concepts related to learning and teaching of health professions. The course provides students with an understanding of research and ethics in health professional education, and the role these essential elements play in leading practice improvement and through reflective practice, critical inquiry, scholarship and research. Furthermore, the course will provide students with advanced understanding of contemporary teaching practices relevant to health professional education today. This course is designed for educators of health professions seeking a pathway to scholarship and leadership in health professional education. On successful completion of the Graduate Diploma in Health Professional Education, graduates should be able to: outline evidence-based knowledge and skills required to inform learning and teaching practice apply advanced knowledge and skills to implement and evaluate quality learning and teaching plans within complex and diverse contemporary health care settings analyse contemporary challenges in healthcare education to inform quality learning and teaching plans.",1 year full-time or equivalent part-time,null,Domestic and International students.,North Sydney  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $19468 Fee-Paying 

    (indicative only)",Graduate Diploma in Health Professional Education,,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_health_professional_education,"


Online  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic and Overseas applicants.,Campus availability,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a range of professions, including sport scientists, coaches and managers. In Australia, there are employment opportunities in professional and semi-professional sporting teams, Australian and state institutes of sport, academies of sport, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. The Graduate Diploma in High Performance Sport aims to help students develop the knowledge, understanding and skills needed to enhance the conditioning of high performance athletes, with the aim of optimising individual and team performance, within the context of a multidisciplinary environment and its culture and leadership structures, and to do so in an ethical manner characterised by a concern for respect, equity and social justice.",1 year full-time or equivalent part-time,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20272 Fee-Paying 

    (indicative only)",Graduate Diploma in High Performance Sport,,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_high_performance_sport,"


Online  



",1 year full-time or equivalent part-time,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,The Graduate Diploma in Mental Health aims to expand allied health clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year full-time or equivalent part-time.,null,Domestic and Overseas applicants.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Graduate Diploma in Mental Health,,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_mental_health,"


Online  



",1 year full-time or equivalent part-time,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,The Graduate Diploma in Mental Health Nursing aims to expand nursing clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year full-time or equivalent part-time.,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Graduate Diploma in Mental Health Nursing,,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_mental_health_nursing,"


Online  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
,Campus availability,"The Graduate Diploma in Occupational Health, Safety and Environmental (OHSE) Management provides students with advanced technical competencies in OHSE theory and practice. The course comprises eight units that will prepare you for a professional-level position in OHSE. The Graduate Diploma in OHSEM is a pathway program to the Master of OHSEM, and is an accredited course that provides students with the educational requirements to seek certification as an OHS Professional. The Graduate Diploma is available as an exit award from the Master of OHSEM. The course is offered online through Open Universities Australia.",1 year full-time or equivalent part-time.,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $20004 Fee-Paying     (indicative only),Graduate Diploma in Mental Health Nursing,,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_ohse_mgmt,"

 Open Universities Australia

",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic and International students.,Campus availability,"The Graduate Diploma in Psychology is for students who have previously completed an accredited three-year sequence in psychology. It offers advanced level study in a selection of specialised areas in psychology. The course provides graduates with an approved Australian Psychology Accreditation Council (APAC) fourth year of training in psychology. In addition to covering professional issues and ethics, assessment and intervention, and research projects into human behaviour, this graduate diploma also offers electives in advanced topics in psychology.",1 year full-time or equivalent part-time.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",Domestic students only.,Open Universities Australia," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844","Average first year fee:
    $22592 Fee-Paying 

    (indicative only)",Graduate Diploma in Mental Health Nursing,083210C,084325F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_psychology,"


Melbourne  


Strathfield  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic and International students.,Campus availability,"ACU’s Graduate Diploma in Public Health equips graduates with advanced knowledge, understanding and skills in public health to improve population health and well-being. The course prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate advanced knowledge across major subject areas within public health; analyse and utilise best available evidence to support public health action; and demonstrate skills needed to critique and implement a range of public health interventions. Articulation from this course into the Master of Public Health program is available.",1 year full-time or equivalent part-time.,null,Domestic and International students.,Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $20272 Fee-Paying 

    (indicative only)",Graduate Diploma in Public Health,089310F,083210C,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_public_health,"


Melbourne  

 Open Universities Australia

",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic and International students.,Campus availability,"The Graduate Diploma in Rehabilitation provides evidence based studies for health professionals including registered physiotherapists, occupational therapists, speech pathologists, nurses and other allied health professionals who seek to extend knowledge and skills in the fields of aged and neurological rehabilitation for promotion and professional recognition, or return to the workforce. This program enables articulation to the Master of Rehabilitation (Discipline). The course builds on the health inquiry unit and units related to clinical reasoning, advanced studies in chronic disease and disability and inter-professional practice and delivers case-based, on-line studies of aged and neurological disorders for holistic management and participation, along with research methodologies to plan a work-based project and a discipline specific practicum. Graduates of the Graduate Diploma in Rehabilitation should be able to:",1 year full-time or equivalent part-time.,null,Domestic and International students.,Melbourne   Open Universities Australia," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816","Average first year fee:
    $22818 Fee-Paying 

    (indicative only)",Graduate Diploma in Rehabilitation,086189D,089310F,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_rehabilitation,"


Brisbane  


Melbourne  


North Sydney  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,"The Graduate Diploma Theological Studies is a coursework award providing pathways for graduates in other disciplines to gain a foundation in the study of Christian Theology. They also provide graduates in Theology with a means of extending their skills and knowledge in specific areas. Graduates will be able, in differing degrees, to:",1 year full-time or equivalent part-time.,null,Domestic and International students.,Brisbane  Melbourne  North Sydney,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816","Average first year fee:
    $18128 Fee-Paying 

    (indicative only)",Graduate Diploma in Theological Studies,,086189D,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_theological_studies,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,"These concurrent degrees combine professional training within educational and developmental psychology with a research Doctor of Philosophy (PhD). During these concurrent degrees, students will: Specialisation subject units in the clinical psychology stream are:",4 years full-time or equivalent part-time.,null,Domestic students only.,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,null,"Average first year fee:
    $27640 Fee-Paying 

    (indicative only)",Graduate Diploma in Theological Studies,,086189D,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_clinicaldoctor_of_philosophy,"


Melbourne  


Strathfield  



",1 year full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic students only.,Campus availability,"These concurrent degrees combine professional training within educational and developmental psychology with a research Doctor of Philosophy (PhD). During these concurrent degrees, students will: Specialisation subject units in the Educational and Developmental psychology stream are:",4 years full-time or equivalent part-time.,null,Domestic students only.,Melbourne  Strathfield,null,"Average first year fee:
    $27640 Fee-Paying 

    (indicative only)",Graduate Diploma in Theological Studies,,086189D,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_educational_and_developmentaldoctor_of_philosophy,"


Melbourne  



",4 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $24104.00 (2021)
Domestic and International students.,Campus availability,"Finding your specialty is our specialty. Advance your career and become a well-rounded management professional with an MBA that puts ethics and sustainability at the forefront. Our unique MBA structure allows you to design your own specialist qualification. You’ll be able to choose four open electives, giving you control over your professional journey. Choose from: We understand the importance of learning in the real world, not just in the classroom. Our internship opportunities will help you build new networks and connect to experts in your industry – our aim is to help you make a move in your career before you’ve even graduated.","1-2 years full-time depending on credit granted for prior learning, or equivalent part-time"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic students only.,Melbourne," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $24500 Fee-Paying 

    (indicative only)",Master of Business Administration,084682G,086189D,null,https://courses.acu.edu.au/postgraduate/master_of_business_administration,"


Melbourne  


North Sydney  



",4 years full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $64000.00 (2021)
,Deferment ,"A pinnacle business qualification for individuals that believe in more than just maximising profits. The corporate landscape is shifting; companies focused exclusively on maximising shareholder wealth are being challenged to consider their broader social and community obligations and how they are contributing to the common good. To what extent should corporations be ethically or values-driven rather than shareholder focused? At ACU we believe this is a false dichotomy – and an illusory trade-off. Emerging evidence suggests that serving the social good is a winning model for driving sustainable long-term profit growth and value creation. Our Executive Master of Business Admiration (MBAE) challenges participants to consider how contemporary business models can embrace ethical values and sustainable profit growth, and how these two apparently competing ambitions are, in fact, intertwined and interdependent. The MBAE is robust by design. We aim to challenge you, to engage you in lively debate, to give you skills that enable you to think critically, differently and outside of the standard, to tackle the big questions, and create bigger results with true mutual value and benefit. It is a refreshing interdisciplinary learning journey, drawing from the fields of psychology, sociology, humanities, business, economics, accounting, finance, education, and philosophy, and focusing on the core elements of business. MBAE Course Guide",1.5 years full-time or equivalent part-time.,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and International students.,Melbourne  North Sydney,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",Average first year fee:    $24500 Fee-Paying     (indicative only),Master of Business Administration,,084682G,null,https://courses.acu.edu.au/postgraduate/master_of_business_administration_executive,,"1-2 years full-time depending on credit granted for prior learning, or equivalent part-time",Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $64000.00 (2021)
,Campus availability,"The Master of Business Administration (MBA) is a generalist management degree which provides students with the skills and knowledge required to progress in a career in management. With four electives available, students can choose to specialise in a management discipline or industry of choice or undertake further study in general management with a focus on human resources. By undertaking the MBA, you will be able to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. As a graduate of the MBA you will have a sound understanding of business ethics, decision making and communication as well as specific knowledge in your chosen area of specialisation. This combination of skills, knowledge and expertise will equip you to gain employment as a well-rounded management professional. MBA students who have completed the requirements prescribed for the Graduate Certificate in Business Administration or the Graduate Diploma in Business Administration may exit from the course with the relevant award by arrangement with the Course Coordinator.",1.5 years full-time or equivalent part-time.,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and International students.,Melbourne  North Sydney,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",Average first year fee:    $24500 Fee-Paying     (indicative only),Master of Business Administration,,084682G,null,https://courses.acu.edu.au/postgraduate/master_of_business_administration_oua,"

 Open Universities Australia

",1.5 years full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $64000.00 (2021)
Domestic and International students.,Campus availability,"The Master of Clinical Exercise Physiology provides advanced academic study in the discipline of clinical exercise physiology. The postgraduate course delivers a sequence of units in the context of clinical assessment and exercise as a preventative, prescriptive and rehabilitative process for acute, sub-acute and chronic injuries as well as non-communicable diseases and concomitant multimorbidities. This specialisation will provide professional training, skills, competencies and clinical experience needed for accreditation by Exercise and Sports Science Australia (ESSA). The Master of Clinical Exercise Physiology will develop knowledge and skills in: As an exercise physiologist, you will understand what’s involved in: This specialisation will provide professional training, skills, competencies and clinical practicum hours needed for accreditation by the Exercise and Sports Science Australia (ESSA).",1.5 years full-time or equivalent part-time.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,Open Universities Australia," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816","Average first year fee:
    $7390 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Master of Clinical Exercise Physiology,076036D,084682G," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",https://courses.acu.edu.au/postgraduate/master_of_clinical_exercise_physiology,"


Brisbane  


Melbourne  


Strathfield  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic students only.,Campus availability,"The Master of Clinical Nursing builds on from the Graduate Certificate in Clinical Nursing and the Graduate Diploma in Clinical Nursing bringing the clinical expert and clinical leadership components together. It aims to expand the health clinician's knowledge and skills in clinical nursing at a specialist and advanced level. The course includes carefully designed coursework units with embedded research-led teaching, with both project and thesis options Graduates of the Master of Clinical Nursing will be able to:",1.5 years full-time or equivalent part-time,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 21-Feb-2022     #435844",Domestic and International students.,Brisbane  Melbourne  Strathfield,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Master of Clinical Nursing,,076036D,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 21-Feb-2022     #435872",https://courses.acu.edu.au/postgraduate/master_of_clinical_nursing,"


Online  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic and International students.,Campus availability,"This course is designed for educators or those working in educational contexts who wish to pursue further studies in a specialised area. It will not lead to a teaching qualification. The Master of Education enables teachers professionals working in other educational contexts to develop advanced knowledge and expertise. The course enhances career advancement opportunities for teachers and other professionals engaged in lead educational roles such as education administrators, researchers, policy makers, career counsellors, psychologists, members of the defence forces, youth ministers and family/parish educators. Specialist areas leading to a named specialisation: This advanced education course will enable students to enhance professional knowledge and pedagogical practices, and to demonstrate knowledge and understanding of recent research. Students with a postgraduate qualification in Education may apply for credit and complete the degree in less time.",1.5 years - 2 years full-time or equivalent part-time.,null,Domestic students only.,Online," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $18128 Fee-Paying 

    (indicative only)",Master of Education,"084792A, 099127M",076036D,null,https://courses.acu.edu.au/postgraduate/master_of_education,"


Melbourne  


Online  



",1.5 years full-time or equivalent part-time,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
